Team,Rank_2013,Rank_2014,Rank_2015,Rank_2016,Rank_2017,Rank_2018,Rank_2019,Rank_2020,Rank_2021,Rank_2022
AFC Bournemouth,,,16,9,12,14,18,,,15
Arsenal FC,4,3,2,5,6,5,8,8,5,2
Aston Villa,15,17,20,,,,17,11,14,7
Brentford FC,,,,,,,,,13,9
Brighton & Hove Albion,,,,,15,17,15,16,9,6
Burnley FC,,19,,16,7,15,10,17,18,
Cardiff City,20,,,,,18,,,,
Chelsea FC,3,1,10,1,5,3,4,4,3,12
Crystal Palace,11,10,15,14,11,12,14,14,12,11
Everton FC,5,11,11,7,8,8,12,10,16,17
Fulham FC,19,,,,,19,,18,,10
Huddersfield Town,,,,,16,20,,,,
Hull City,16,18,,18,,,,,,
Leeds United,,,,,,,,9,17,19
Leicester City,,14,1,12,9,9,5,5,8,18
Liverpool FC,2,6,8,4,4,2,1,3,2,5
Manchester City,1,2,4,3,1,1,2,1,1,1
Manchester United,7,4,5,6,2,6,3,2,6,3
Middlesbrough FC,,,,19,,,,,,
Newcastle United,10,15,18,,10,13,13,12,11,4
Norwich City,18,,19,,,,20,,20,
Nottingham Forest,,,,,,,,,,16
Queens Park Rangers,,20,,,,,,,,
Sheffield United,,,,,,,9,20,,
Southampton FC,8,7,6,8,17,16,11,15,15,20
Stoke City,9,9,9,13,19,,,,,
Sunderland AFC,14,16,17,20,,,,,,
Swansea City,12,8,12,15,18,,,,,
Tottenham Hotspur,6,5,3,2,3,4,6,7,4,8
Watford FC,,,13,17,14,11,19,,19,
West Bromwich Albion,17,13,14,10,20,,,19,,
West Ham United,13,12,7,11,13,10,16,6,7,14
Wolverhampton Wanderers,,,,,,7,7,13,10,13
