Team,Balance,Balance_2014,Balance_2015,Balance_2016,Balance_2017,Balance_2018,Balance_2019,Balance_2020,Balance_2021,Balance_2022
AFC Bournemouth,,,-54.46m,-17.00m,-34.30m,-71.40m,-20.29m,,,-83.10m
Arsenal FC,-37.10m,-91.18m,-24.00m,-102.65m,9.15m,-71.05m,-107.15m,-66.85m,-136.00m,-168.10m
Aston Villa,-11.74m,-12.14m,-1.85m,,,,-156.50m,-98.58m,-2.80m,-46.14m
Brentford FC,,,,,,,,,-37.20m,-45.65m
Brighton & Hove Albion,,,,,-66.10m,-77.00m,-53.24m,-29.50m,3.80m,82.20m
Burnley FC,,-12.62m,,-44.40m,14.26m,-25.00m,-10.30m,1.20m,-8.90m,
Cardiff City,-42.08m,,,,,-51.20m,,,,
Chelsea FC,-52.42m,5.11m,-9.01m,-23.90m,-65.90m,-125.55m,112.27m,-190.05m,30.94m,-543.63m
Crystal Palace,-33.00m,-28.35m,-23.40m,-51.00m,-52.95m,-11.50m,47.78m,-2.40m,-85.62m,-41.15m
Everton FC,14.30m,-38.26m,-37.20m,-25.20m,-76.82m,-71.15m,-33.20m,-69.95m,6.50m,25.40m
Fulham FC,-25.15m,,,,,-111.15m,,-37.25m,,-50.30m
Huddersfield Town,,,,,-50.30m,-38.37m,,,,
Hull City,-30.22m,-29.52m,,-11.10m,,,,,,
Leeds United,,,,,,,,-127.80m,-59.30m,-36.89m
Leicester City,,-22.86m,-40.45m,-26.05m,-33.75m,-18.80m,-15.80m,-5.63m,-63.60m,32.40m
Liverpool FC,-25.60m,-52.16m,-35.95m,5.48m,10.85m,-140.88m,37.60m,-66.85m,-57.45m,-61.60m
Manchester City,-104.20m,-72.50m,-141.03m,-180.90m,-226.15m,-20.99m,-98.82m,-109.40m,-45.10m,7.17m
Manchester United,-75.33m,-148.65m,-55.33m,-137.75m,-152.90m,-52.15m,-155.62m,-64.30m,-110.90m,-219.63m
Middlesbrough FC,,,,-34.45m,,,,,,
Newcastle United,22.07m,-21.15m,-102.48m,,-25.28m,-8.70m,-37.26m,-38.48m,-130.50m,-171.29m
Norwich City,-25.22m,,-29.01m,,,,-6.62m,,-25.15m,
Nottingham Forest,,,,,,,,,,-190.25m
Queens Park Rangers,,-17.50m,,,,,,,,
Sheffield United,,,,,,,-72.15m,-62.70m,,
Southampton FC,-35.40m,27.83m,-7.40m,16.15m,37.10m,-36.15m,-34.20m,-11.00m,-3.05m,-146.61m
Stoke City,-7.00m,2.00m,-30.45m,-38.37m,-22.56m,,,,,
Sunderland AFC,-11.53m,-15.27m,-55.05m,-18.13m,,,,,,
Swansea City,-26.61m,20.37m,-5.01m,-8.80m,7.72m,,,,,
Tottenham Hotspur,15.85m,-4.33m,16.25m,-31.20m,-17.20m,5.35m,-86.00m,-97.20m,-61.28m,-139.15m
Watford FC,,,-73.05m,-12.35m,-54.66m,21.74m,-30.60m,,-30.65m,
West Bromwich Albion,-4.30m,-22.58m,-29.98m,-10.93m,-51.45m,,,-34.04m,,
West Ham United,-23.47m,-30.75m,-34.19m,-42.50m,12.22m,-87.14m,-64.32m,-9.29m,-70.27m,-164.95m
Wolverhampton Wanderers,,,,,,-89.45m,-92.60m,-8.39m,-5.80m,-114.24m
