,AverageAge,Balance(m),Lose_score,Point,Rank,Score,Team,season
0,0.7517141312298216,-0.8023551124076065,0.2633707687836881,-0.7960379587533473,1.4912022701586514,0.3544777147604345,맨유,2013-2014
1,-0.47557424628825945,0.6007998950275343,-0.3950561531755325,0.1787023989038115,-0.229415733870562,0.059079619126738904,맨유,2014-2015
2,-0.9358073878575405,-1.1851033413860956,-0.614531793828606,-0.471124506200961,0.3441236008058425,-1.8610080024922824,맨유,2015-2016
3,0.5983030840400594,0.39220211023425766,-1.2729587157878266,0.01624567262761839,0.9176629354822469,-1.1225127634080434,맨유,2016-2017
4,0.44489203685030265,0.6821338936854632,-1.3826965361143633,1.965726387941936,-1.3764944032233708,0.9452739060278256,맨유,2017-2018
5,-0.015341104718978397,-1.2459603097936751,1.4704867923755924,-0.471124506200961,0.9176629354822469,0.5021767625772823,맨유,2018-2019
6,-2.0096847181858593,0.7341876528265376,-0.5047939735020692,-0.471124506200961,-0.8029550685469664,0.64987581039413,맨유,2019-2020
7,-0.7823963406677783,-1.0134407606892433,0.3731085891102248,0.828529304008584,-1.3764944032233708,1.6837691451120647,맨유,2020-2021
8,1.5187693671786215,-0.1216373871693637,1.7997002533552027,-1.770778316410506,0.9176629354822469,-0.6794156199575,맨유,2021-2022
9,0.9051251784195837,1.9591733596721916,0.2633707687836881,0.9909860302847772,-0.8029550685469664,-0.5317165721406523,맨유,2022-2023
