Team,Rank,Point,Score,Lose_score
Manchester City,1  ,89,94,33
Arsenal FC,2  ,84,88,43
Manchester United,3  ,75,58,43
Newcastle United,4  ,71,68,33
Liverpool FC,5  ,67,75,47
Brighton & Hove Albion,6  ,62,72,53
Aston Villa,7  ,61,51,46
Tottenham Hotspur,8  ,60,70,63
Brentford FC,9  ,59,58,46
Fulham FC,10  ,52,55,53
Crystal Palace,11  ,45,40,49
Chelsea FC,12  ,44,38,47
Wolverhampton Wanderers,13  ,41,31,58
West Ham United,14  ,40,42,55
AFC Bournemouth,15  ,39,37,71
Nottingham Forest,16  ,38,38,68
Everton FC,17  ,36,34,57
Leicester City,18  ,34,51,68
Leeds United,19  ,31,48,78
Southampton FC,20  ,25,36,73
